pair_id,CC_before,CC_after,Delta_CC,Relative_CC_Reduction,Branch_Count_Before,Branch_Count_After,Delta_Branch_Count,Nesting_Depth_Before,Nesting_Depth_After,Delta_Nesting_Depth,LOC_Before,LOC_After,Decision_Density_Before,Decision_Density_After,Helper_Functions_Before,Helper_Functions_After,Function_Calls_Before,Function_Calls_After,Structural_Decomposition_Ratio,Complexity_Label,Complexity_Rank
CC-001,350,350,0,0.0,269,269,0,6,6,0,1150,1158,0.3043,0.3022,0,1,377,379,1.0079,UNCHANGED,1
CC-002,202,202,0,0.0,106,106,0,6,5,1,770,775,0.2623,0.2606,24,25,327,329,1.0085,UNCHANGED,2
CC-003,74,75,-1,-0.0135,41,41,0,4,4,0,225,233,0.3289,0.3219,0,1,89,91,1.0333,UNCHANGED,3
CC-004,49,49,0,0.0,52,52,0,7,7,0,185,191,0.2649,0.2565,0,1,44,46,1.0667,UNCHANGED,4
CC-005,45,45,0,0.0,36,36,0,5,5,0,233,242,0.1931,0.186,3,4,91,93,1.0316,UNCHANGED,5
CC-006,41,41,0,0.0,5,5,0,4,4,0,78,86,0.5256,0.4767,0,1,29,31,1.1,UNCHANGED,6
CC-007,39,41,-2,-0.0513,24,25,-1,2,2,0,32,35,1.2188,1.1714,0,1,37,39,1.0789,UNCHANGED,7
CC-008,36,36,0,0.0,10,10,0,6,6,0,121,124,0.2975,0.2903,0,1,52,54,1.0566,UNCHANGED,8
CC-009,35,35,0,0.0,25,25,0,2,2,0,53,56,0.6604,0.625,0,1,34,36,1.0857,UNCHANGED,9
CC-010,34,34,0,0.0,7,7,0,3,3,0,43,51,0.7907,0.6667,0,1,6,8,1.4286,UNCHANGED,10
CC-011,34,34,0,0.0,23,23,0,5,5,0,131,134,0.2595,0.2537,0,1,39,41,1.075,UNCHANGED,11
CC-012,31,33,-2,-0.0645,13,13,0,4,4,0,57,64,0.5439,0.5156,0,1,33,35,1.0882,UNCHANGED,12
CC-013,31,31,0,0.0,16,16,0,5,5,0,60,63,0.5167,0.4921,0,1,35,37,1.0833,UNCHANGED,13
CC-014,31,33,-2,-0.0645,17,17,0,6,6,0,99,104,0.3131,0.3173,0,1,35,37,1.0833,UNCHANGED,14
CC-015,29,30,-1,-0.0345,5,5,0,4,4,0,123,126,0.2358,0.2381,0,1,55,57,1.0536,UNCHANGED,15
CC-016,29,29,0,0.0,21,21,0,7,7,0,153,160,0.1895,0.1812,0,1,61,63,1.0484,UNCHANGED,16
CC-017,29,30,-1,-0.0345,24,25,-1,5,5,0,156,159,0.1859,0.1887,0,1,28,30,1.1034,UNCHANGED,17
CC-018,28,28,0,0.0,7,7,0,4,4,0,46,53,0.6087,0.5283,0,1,29,31,1.1,UNCHANGED,18
CC-019,27,28,-1,-0.037,20,20,0,6,6,0,82,85,0.3293,0.3294,0,1,29,31,1.1,UNCHANGED,19
CC-020,26,26,0,0.0,25,25,0,5,5,0,243,250,0.107,0.104,4,5,67,69,1.0417,UNCHANGED,20
CC-021,25,25,0,0.0,7,7,0,2,2,0,38,41,0.6579,0.6098,0,1,26,28,1.1111,UNCHANGED,21
CC-022,25,27,-2,-0.08,12,12,0,4,4,0,75,82,0.3333,0.3293,0,1,27,29,1.1071,UNCHANGED,22
CC-023,24,24,0,0.0,17,17,0,4,4,0,93,96,0.2581,0.25,0,1,35,37,1.0833,UNCHANGED,23
CC-024,23,23,0,0.0,12,12,0,2,2,0,64,70,0.3594,0.3286,0,1,23,25,1.125,UNCHANGED,24
CC-025,23,23,0,0.0,10,10,0,4,4,0,77,80,0.2987,0.2875,0,1,35,37,1.0833,UNCHANGED,25
CC-026,23,25,-2,-0.087,15,15,0,6,6,0,78,84,0.2949,0.2976,0,1,27,29,1.1071,UNCHANGED,26
CC-027,23,24,-1,-0.0435,8,9,-1,4,4,0,123,127,0.187,0.189,0,1,43,45,1.0682,UNCHANGED,27
