pair_id,app,source_file,function_name,estimated_CC_before,estimated_CC_after,estimated_CC_reduction,generation_strategy
CC-001,DocuSense,DocuSense/AIProcessing/ServiceReceiptExtractor.swift,extractServiceFields,350,1,349,helper-extraction CC transformation
CC-002,PartGuard,PartGuard/Application/Pipeline/PartExtractor.swift,extractParts,202,1,201,helper-extraction CC transformation
CC-003,PartGuard,PartGuard/Domain/Services/OBDInferenceEngine.swift,buildParts,74,2,72,helper-extraction CC transformation
CC-004,MenuCal,MenuCal/Features/Recipes/Search/RecipeSearchEngine.swift,matchesAll,49,1,48,helper-extraction CC transformation
CC-005,MenuCal,MenuCal/Features/MenuScan/MenuParser.swift,parseIngredientsOptimized,45,1,44,helper-extraction CC transformation
CC-006,DocuSense,DocuSense/AIProcessing/UtilityBillExtractor.swift,extractUtilityFields,41,1,40,helper-extraction CC transformation
CC-007,MenuCal,MenuCal/Features/Games/GameFoodIcon.swift,primaryIcon,39,3,36,helper-extraction CC transformation
CC-008,PartGuard,PartGuard/Application/Pipeline/PartExtractor.swift,extractVerticalColumns,36,1,35,helper-extraction CC transformation
CC-009,DocuSense,DocuSense/AIProcessing/ServiceReceiptExtractor.swift,isLikelyCompanyName,35,1,34,helper-extraction CC transformation
CC-010,MenuCal,MenuCal/Features/Games/IngredientRoleInferencer.swift,refineRoleWithMacros,34,1,33,helper-extraction CC transformation
CC-011,MenuCal,MenuCal/Features/MenuScan/PriceAnchor.swift,detectPriceAnchors,34,1,33,helper-extraction CC transformation
CC-012,DocuSense,DocuSense/Application/UtilitytNormalizer.swift,extractGasUsageWithUnit,31,3,28,helper-extraction CC transformation
CC-013,PartGuard,PartGuard/Application/Pipeline/PartExtractor.swift,extractRowBased,31,1,30,helper-extraction CC transformation
CC-014,DocuSense,DocuSense/Application/UtilitytNormalizer.swift,extractWaterUsageWithUnit,31,3,28,helper-extraction CC transformation
CC-015,PartGuard,PartGuard/Presentation/ViewModels/ReceiptViewModel.swift,enrichAndBuildReport,29,2,27,helper-extraction CC transformation
CC-016,NutriCompass,NutriCompass/Infrastructure/Networking/EvidenceAPIClient.swift,fetchCoOccurrence,29,1,28,helper-extraction CC transformation
CC-017,PartGuard,PartGuard/Presentation/ViewModels/DiagnosticPartSuggestionViewModel.swift,processComponents,29,2,27,helper-extraction CC transformation
CC-018,PartGuard,PartGuard/Data/Providers/SymptomMapService.swift,matchesSubsystem,28,1,27,helper-extraction CC transformation
CC-019,DocuSense,DocuSense/AIProcessing/UtilityBillExtractor.swift,extractUsageFromRows,27,2,25,helper-extraction CC transformation
CC-020,MenuCal,MenuCal/Features/Games/CalorieArchitectGenerator.swift,buildIngredientSpace,26,1,25,helper-extraction CC transformation
CC-021,PartGuard,PartGuard/Domain/Services/OBDInferenceEngine.swift,matchesSubsystem,25,1,24,helper-extraction CC transformation
