pair_id,num_layers,Cosine_Similarity,Layerwise_Distance,Attention_Entropy_Delta,CKA_Similarity,Subspace_Similarity,Cosine_Mean,Distance_Mean,Entropy_Mean,CKA_Mean,Subspace_Mean
CC-001,25,"[0.394084632396698, 0.2596443295478821, 0.23631876707077026, 0.11328303813934326, 0.12811917066574097, 0.1529827117919922, 0.16839337348937988, 0.1969468593597412, 0.22773611545562744, 0.25043362379074097, 0.2715829014778137, 0.29277390241622925, 0.3145497441291809, 0.3285389542579651, 0.34792834520339966, 0.37304478883743286, 0.40789127349853516, 0.44692790508270264, 0.4772781729698181, 0.4991232752799988, 0.5146896839141846, 0.5268400609493256, 0.5506845712661743, 0.5267523229122162, 0.7271713018417358]","[0.6795608997344971, 7.096960067749023, 9.37124252319336, 11.701133728027344, 14.014893531799316, 16.59984016418457, 18.749065399169922, 21.361835479736328, 23.807886123657227, 25.73521614074707, 27.922359466552734, 30.271381378173828, 32.61927795410156, 35.022193908691406, 37.39507293701172, 40.96363067626953, 45.68232727050781, 51.766510009765625, 59.458984375, 66.60054779052734, 74.13435363769531, 84.0813217163086, 97.36318969726562, 114.46367645263672, 318.96917724609375]","[0.0014123916625976562, 0.007031440734863281, 0.008971214294433594, 0.0030603408813476562, 0.009179115295410156, 0.008765220642089844, 0.006564140319824219, 0.0036611557006835938, 0.0019207000732421875, 0.0022859573364257812, 0.0034399032592773438, 0.008955001831054688, 0.005162239074707031, 0.00327301025390625, 0.0024614334106445312, 4.76837158203125e-06, 0.0021448135375976562, 0.0027875900268554688, 0.0026760101318359375, 0.0013055801391601562, 0.0020427703857421875, 0.0056362152099609375, 0.005019187927246094, 0.007525444030761719, 0.0065746307373046875]","[0.26011349007319995, 0.02545162538556711, 0.009488194500231417, 0.0011106023272774435, 0.001263075049514062, 0.0019707261097657858, 0.0019927027575505907, 0.0038967022505075333, 0.006260128753582728, 0.006903332515534877, 0.010124087092325373, 0.011180752041665909, 0.013256735793494845, 0.016084896516677105, 0.018253545939517002, 0.024370448258978272, 0.03691331033292522, 0.05701761512937875, 0.09858408449321876, 0.1464566835310851, 0.20690422875982262, 0.34243933659677206, 0.6287713873318311, 0.8376704264694586, 0.9383942690062629]","[0.8408257216215134, 0.9243748411536217, 0.8776918947696686, 0.8379122316837311, 0.8209684044122696, 0.8053351193666458, 0.8498698770999908, 0.816556453704834, 0.8283712565898895, 0.823914110660553, 0.8066798746585846, 0.8184974491596222, 0.8159015476703644, 0.8143004775047302, 0.8047558963298798, 0.7985877692699432, 0.8097827434539795, 0.8340251296758652, 0.8560563921928406, 0.8540223836898804, 0.855335921049118, 0.8590568751096725, 0.8594704121351242, 0.8569534420967102, 0.8762016519904137]",0.34934879302978517,50.633265542984006,0.004474411010742188,0.1481948954806458,0.8378179150819779
CC-002,25,"[0.4125934839248657, 0.24576711654663086, 0.22452008724212646, 0.11198556423187256, 0.12552523612976074, 0.1522318720817566, 0.16603755950927734, 0.1945042610168457, 0.21991795301437378, 0.24420768022537231, 0.26404911279678345, 0.282589852809906, 0.3071255087852478, 0.32241588830947876, 0.34144049882888794, 0.36889731884002686, 0.4043004512786865, 0.44239211082458496, 0.4758608341217041, 0.5013222694396973, 0.5230130851268768, 0.5530248880386353, 0.594040185213089, 0.5870457887649536, 0.7935920208692551]","[0.7010325193405151, 7.359359264373779, 9.67933177947998, 12.241249084472656, 14.680628776550293, 17.56695556640625, 19.752792358398438, 22.44805908203125, 24.60708999633789, 26.722084045410156, 28.769716262817383, 30.86302947998047, 33.42147445678711, 35.856285095214844, 38.27250671386719, 42.1773796081543, 47.186798095703125, 53.641883850097656, 61.12237548828125, 68.29669189453125, 76.22853088378906, 87.14069366455078, 102.02015686035156, 121.13107299804688, 332.73260498046875]","[0.0027284622192382812, 0.016164779663085938, 0.0134735107421875, 0.00030040740966796875, 0.006554603576660156, 0.007963180541992188, 0.0015878677368164062, 0.000240325927734375, 0.00321197509765625, 0.005211830139160156, 0.00949859619140625, 0.011227607727050781, 0.010590553283691406, 0.007632255554199219, 0.00634765625, 0.005889892578125, 0.0031490325927734375, 0.004080772399902344, 0.004782676696777344, 0.0037965774536132812, 0.0016851425170898438, 0.0008859634399414062, 0.0018749237060546875, 0.007506370544433594, 0.015158653259277344]","[0.2369520410881938, 0.01661330563673913, 0.006858680587996768, 0.0009624624460601305, 0.0010881290139592714, 0.002521279027052792, 0.0018598604033455146, 0.0028201646717570528, 0.0035697764855143754, 0.004331913673943699, 0.005357472031239707, 0.006301737042765487, 0.0077859332453440455, 0.009814234099580599, 0.01189506746928315, 0.019084659461553244, 0.031451973753288676, 0.05608500937072747, 0.09527096729628293, 0.14267015018395202, 0.19588717896153485, 0.3074214475724316, 0.5714346068907329, 0.8269971367808705, 0.943378315635682]","[0.8024200946092606, 0.960179977118969, 0.9052524268627167, 0.9025402665138245, 0.8804652541875839, 0.856449231505394, 0.8788827881217003, 0.8534237891435623, 0.8459613472223282, 0.8425870835781097, 0.8286176472902298, 0.8335433453321457, 0.8269739747047424, 0.8343883454799652, 0.8199391067028046, 0.8066479414701462, 0.8206489086151123, 0.8424554318189621, 0.8544247895479202, 0.8501857370138168, 0.8571607023477554, 0.8600439876317978, 0.8566912859678268, 0.8618622571229935, 0.8614878058433533]",0.35433602511882784,52.58479131221771,0.006061744689941406,0.14033654011319327,0.8537293410301209
CC-003,25,"[0.3959410786628723, 0.23283487558364868, 0.2112424373626709, 0.10360920429229736, 0.11332672834396362, 0.13217532634735107, 0.14514905214309692, 0.17102497816085815, 0.19571858644485474, 0.21523094177246094, 0.23458588123321533, 0.25334692001342773, 0.27594470977783203, 0.29158926010131836, 0.31072312593460083, 0.33613139390945435, 0.3719824552536011, 0.4118792414665222, 0.44487786293029785, 0.47173237800598145, 0.49293065071105957, 0.5206016600131989, 0.5606397986412048, 0.5397984087467194, 0.7938808351755142]","[0.6797145009040833, 7.216391563415527, 9.420559883117676, 11.789520263671875, 13.999375343322754, 16.396427154541016, 18.493070602416992, 21.019241333007812, 23.19308090209961, 25.040590286254883, 27.05438995361328, 29.216259002685547, 31.645954132080078, 34.19563293457031, 36.40714645385742, 39.927635192871094, 44.668365478515625, 50.858734130859375, 58.46642303466797, 65.66512298583984, 73.33894348144531, 83.63960266113281, 98.40620422363281, 117.65788269042969, 325.18975830078125]","[0.0010280609130859375, 0.021512985229492188, 0.017848968505859375, 0.004734039306640625, 0.006997108459472656, 0.0064849853515625, 0.0004138946533203125, 0.0034570693969726562, 0.00229644775390625, 0.003200531005859375, 0.0005331039428710938, 0.0039520263671875, 0.0017652511596679688, 0.0011444091796875, 0.00022411346435546875, 0.0004425048828125, 0.0045185089111328125, 0.0064182281494140625, 0.007969856262207031, 0.0053424835205078125, 0.0036563873291015625, 0.0013284683227539062, 0.0014276504516601562, 0.0005006790161132812, 0.011981964111328125]","[0.20174898918580686, 0.013752191515073453, 0.00614789849836106, 0.0008894766494205175, 0.0010108751300756946, 0.0016264825005762873, 0.0015764803616412637, 0.0026835570237463413, 0.0038441788977867652, 0.004258899076532541, 0.005726591236214773, 0.006597104329117864, 0.008155405853370046, 0.010610802904205241, 0.012509404185575557, 0.017890820451656464, 0.029245926256014965, 0.04752018507407085, 0.08474829457127186, 0.13151994122294808, 0.18660633209135025, 0.30473472499745025, 0.6097480066594917, 0.8769924721444965, 0.946046947890179]","[0.886625662446022, 0.9294917285442352, 0.8835973367094994, 0.8855364695191383, 0.8760939538478851, 0.8473234474658966, 0.8658096790313721, 0.85616335272789, 0.8468669652938843, 0.8406032919883728, 0.8372895121574402, 0.8568711578845978, 0.8695666640996933, 0.873707726597786, 0.8899175077676773, 0.8845591619610786, 0.899799183011055, 0.9134531468153, 0.9162771180272102, 0.9199299365282059, 0.9296691119670868, 0.9351286441087723, 0.9443274699151516, 0.9475748017430305, 0.9320790320634842]",0.32907591164112093,50.543441059589384,0.0047671890258789065,0.14064767954825735,0.8907304824888707
CC-004,25,"[0.40353184938430786, 0.26355576515197754, 0.23682034015655518, 0.11305761337280273, 0.12545806169509888, 0.14797532558441162, 0.1595054268836975, 0.1861732006072998, 0.21243268251419067, 0.23504894971847534, 0.2560439705848694, 0.2741957902908325, 0.3021465539932251, 0.31869518756866455, 0.3404127359390259, 0.364960253238678, 0.39572030305862427, 0.43265533447265625, 0.4635756015777588, 0.4909619092941284, 0.5113085210323334, 0.5364901423454285, 0.5620876848697662, 0.5470306575298309, 0.7653838694095612]","[0.6937241554260254, 7.4260759353637695, 9.730644226074219, 12.055627822875977, 14.401152610778809, 17.019641876220703, 19.0467529296875, 21.541717529296875, 23.716102600097656, 25.686595916748047, 27.792707443237305, 29.87967300415039, 32.67351531982422, 35.44478225708008, 37.753326416015625, 41.35417175292969, 46.01631164550781, 51.91449737548828, 59.1954345703125, 66.33058166503906, 73.80729675292969, 84.2239990234375, 97.53921508789062, 114.94548034667969, 329.3849792480469]","[0.00017261505126953125, 0.011041641235351562, 0.004097938537597656, 0.0012693405151367188, 0.0050487518310546875, 0.004439353942871094, 0.0023479461669921875, 0.0034170150756835938, 0.006184577941894531, 0.0050144195556640625, 0.0017910003662109375, 0.005870819091796875, 0.002330780029296875, 0.0007581710815429688, 0.0044803619384765625, 0.005131721496582031, 0.004761695861816406, 0.004154205322265625, 0.004145622253417969, 0.0053195953369140625, 0.0060710906982421875, 0.008176803588867188, 0.009495735168457031, 0.012413978576660156, 0.01690196990966797]","[0.2657464312730905, 0.025951152474863792, 0.009856527805970572, 0.0010877663657321568, 0.001119279868924905, 0.0017580323842312229, 0.0016740289017056487, 0.0030340867613205535, 0.00447398150673306, 0.005086042536940449, 0.006333876941699401, 0.007863230567164536, 0.009610465723322581, 0.01213578069112664, 0.014086492839327724, 0.018995199929853213, 0.027420300142334764, 0.047045288270741614, 0.08561364794739168, 0.12976645627159944, 0.17672508000743814, 0.297301223077003, 0.5892438040325407, 0.8448261523673529, 0.9344133053314077]","[0.801970049738884, 0.9355224967002869, 0.9290173649787903, 0.9181940406560898, 0.9005547761917114, 0.90672617405653, 0.8899691179394722, 0.8913440108299255, 0.9009974598884583, 0.9132222235202789, 0.9295866787433624, 0.9449949264526367, 0.9622801952064037, 0.9335938841104507, 0.9020704180002213, 0.8722141981124878, 0.8658941984176636, 0.8812041729688644, 0.8828400820493698, 0.8889448419213295, 0.8898324370384216, 0.8951886892318726, 0.8938019573688507, 0.8870306089520454, 0.9056546539068222]",0.345809109210968,51.18296030044556,0.005393486022949218,0.1408467053607927,0.9009059862792492
CC-005,25,"[0.40851014852523804, 0.2738831043243408, 0.2411719560623169, 0.11509501934051514, 0.12518155574798584, 0.14834123849868774, 0.16375893354415894, 0.1885053515434265, 0.21535778045654297, 0.2402551770210266, 0.2595894932746887, 0.27829408645629883, 0.30110645294189453, 0.3159048557281494, 0.33148545026779175, 0.35298389196395874, 0.3833687901496887, 0.41982221603393555, 0.45141565799713135, 0.48069316148757935, 0.49688422679901123, 0.5197557210922241, 0.540620744228363, 0.5216009318828583, 0.6922737658023834]","[0.6981360912322998, 7.425516605377197, 9.636107444763184, 11.966514587402344, 14.130529403686523, 16.70093536376953, 18.86948585510254, 21.18596076965332, 23.445608139038086, 25.50296401977539, 27.475112915039062, 29.627111434936523, 32.03318786621094, 34.509429931640625, 36.46837615966797, 39.82523727416992, 44.37863540649414, 50.20921325683594, 57.53093338012695, 64.98123168945312, 71.692138671875, 81.09720611572266, 92.50070190429688, 106.51019287109375, 312.79693603515625]","[0.0022726058959960938, 0.01270294189453125, 0.00025653839111328125, 0.006882667541503906, 0.017856597900390625, 0.025589942932128906, 0.01918315887451172, 0.019357681274414062, 0.0156707763671875, 0.013431549072265625, 0.011241912841796875, 0.0010099411010742188, 0.004488945007324219, 0.009205818176269531, 0.008969306945800781, 0.014077186584472656, 0.014402389526367188, 0.013948440551757812, 0.017455101013183594, 0.019727706909179688, 0.022275924682617188, 0.024404525756835938, 0.027899742126464844, 0.031960487365722656, 0.04249000549316406]","[0.27868725481811096, 0.030429101496926347, 0.010622930355351667, 0.001140207394803805, 0.0011387333870956917, 0.001694653933107304, 0.0017617279200939917, 0.0029570235572788928, 0.004164096452043409, 0.00546900580376164, 0.007387281694150261, 0.0088659235820584, 0.011620514758813871, 0.016221631715838014, 0.017740251128163353, 0.023022772786274293, 0.032230395811321255, 0.05053995979063408, 0.09081336047787392, 0.1493115414484094, 0.2022566083997066, 0.31610193926027597, 0.5661765349941725, 0.8165329086082489, 0.92106458735093]","[0.7645169347524643, 0.9153511077165604, 0.8583122789859772, 0.8310621976852417, 0.7947937250137329, 0.7223653793334961, 0.7626118212938309, 0.7371533513069153, 0.746858537197113, 0.7440760135650635, 0.740858256816864, 0.750944972038269, 0.7556892186403275, 0.7469531297683716, 0.743447482585907, 0.7371131181716919, 0.7273306548595428, 0.7418642640113831, 0.7507406771183014, 0.762520357966423, 0.7683831006288528, 0.7685193121433258, 0.7715413719415665, 0.7680269777774811, 0.8522908389568329]",0.3386343884468079,49.247896127700805,0.01587047576904297,0.14271803787701778,0.7705330032110215
CC-006,25,"[0.3945293426513672, 0.2402934432029724, 0.21791768074035645, 0.10388290882110596, 0.11501729488372803, 0.13668715953826904, 0.15259116888046265, 0.18177539110183716, 0.2128501534461975, 0.2319033145904541, 0.25534582138061523, 0.2769622206687927, 0.2958206534385681, 0.310077965259552, 0.3262840509414673, 0.34845292568206787, 0.3814062476158142, 0.4220435619354248, 0.45174282789230347, 0.4698771834373474, 0.4815855622291565, 0.4932441711425781, 0.5113494992256165, 0.4928033947944641, 0.6426920294761658]","[0.6778014898300171, 7.04837703704834, 9.222192764282227, 11.412827491760254, 13.549674034118652, 15.970714569091797, 18.178112030029297, 20.851520538330078, 23.33767318725586, 25.13357925415039, 27.49953842163086, 29.835494995117188, 32.058738708496094, 34.45066833496094, 36.59613800048828, 39.850372314453125, 44.28977584838867, 50.44355010986328, 57.843360900878906, 64.72713470458984, 71.48443603515625, 80.72342681884766, 93.14938354492188, 109.52194213867188, 306.46392822265625]","[0.0006742477416992188, 0.022154808044433594, 0.008646011352539062, 0.0028429031372070312, 0.007836341857910156, 0.013421058654785156, 0.01544952392578125, 0.016674041748046875, 0.0175018310546875, 0.0146942138671875, 0.014634132385253906, 0.013072967529296875, 0.010859489440917969, 0.010293006896972656, 0.011568069458007812, 0.013126373291015625, 0.01772594451904297, 0.016397476196289062, 0.014389991760253906, 0.0113067626953125, 0.007503509521484375, 0.00032711029052734375, 0.0008440017700195312, 0.0035333633422851562, 0.023122787475585938]","[0.25109072218142126, 0.023609460910077096, 0.009209687145803724, 0.0010706063879806216, 0.0010805339914832235, 0.0017242606008823769, 0.0017637671690954315, 0.004906241161773295, 0.008200737549993398, 0.007493169016004719, 0.01070497402641668, 0.011951512547410115, 0.013200809858500584, 0.016670320399819527, 0.019477134716706646, 0.026519144439552833, 0.040165932458528175, 0.06144631291892211, 0.10375073100495835, 0.1546499267012339, 0.2159233056179476, 0.35728711768181687, 0.6594366927372728, 0.8639497985195881, 0.9472375505924383]","[0.8590198904275894, 0.944393515586853, 0.9035957902669907, 0.8713566064834595, 0.8411539196968079, 0.828153520822525, 0.8389439284801483, 0.8322347849607468, 0.8366006165742874, 0.8383073806762695, 0.8217655122280121, 0.8472031056880951, 0.8470913916826248, 0.8548354506492615, 0.8477283418178558, 0.8194083273410797, 0.8282053023576736, 0.8379022926092148, 0.8467523604631424, 0.8496823310852051, 0.8511082828044891, 0.8494844734668732, 0.8492928147315979, 0.8467293381690979, 0.8705314695835114]",0.3258854389190674,48.97281445980072,0.011543998718261719,0.1525008180134251,0.8504592299461364
CC-007,25,"[0.40664440393447876, 0.241163969039917, 0.22356092929840088, 0.10713553428649902, 0.11751002073287964, 0.13520753383636475, 0.14699256420135498, 0.17261546850204468, 0.20209407806396484, 0.21614766120910645, 0.23551172018051147, 0.25279974937438965, 0.2680697441101074, 0.28611594438552856, 0.3019634485244751, 0.32391536235809326, 0.35568761825561523, 0.4067566394805908, 0.4541768431663513, 0.48905301094055176, 0.5156867802143097, 0.5473673045635223, 0.5849360525608063, 0.5758344829082489, 0.8884440436959267]","[0.6957247853279114, 7.35098934173584, 9.733991622924805, 11.955135345458984, 14.214887619018555, 16.533010482788086, 18.611896514892578, 20.907691955566406, 23.350330352783203, 24.875953674316406, 26.869779586791992, 28.915157318115234, 30.843971252441406, 33.3079833984375, 35.34811019897461, 38.39238739013672, 42.628299713134766, 49.34440231323242, 57.30124282836914, 64.42190551757812, 72.07601928710938, 82.74353790283203, 95.57612609863281, 113.82389068603516, 329.95245361328125]","[0.000823974609375, 0.011799812316894531, 0.007487297058105469, 0.0012187957763671875, 0.00335693359375, 0.007649421691894531, 0.008929252624511719, 0.009130477905273438, 0.005023956298828125, 0.0047740936279296875, 0.005268096923828125, 0.0024881362915039062, 0.0027856826782226562, 0.001617431640625, 0.0026702880859375, 0.0054416656494140625, 0.008561134338378906, 0.005627632141113281, 0.002696990966796875, 0.002166748046875, 0.0018148422241210938, 0.001895904541015625, 0.0013561248779296875, 0.00411224365234375, 0.002655029296875]","[0.22056270169415415, 0.014015508350659678, 0.0066846649397507285, 0.0008485769750581351, 0.0011305852211824785, 0.0020643226958273475, 0.002244375589895542, 0.006565435085212568, 0.010235439278805325, 0.00911300488016542, 0.013143929280665878, 0.01295509863006672, 0.01283228731832231, 0.016174151201256204, 0.016098873033503547, 0.021417328666057167, 0.027913155409458712, 0.045382203361107654, 0.0779286931587464, 0.11999793045362006, 0.1832816298609331, 0.3091092821551581, 0.536148243225639, 0.8183536404318779, 0.9278729301864977]","[0.8938748985528946, 1.0129764899611473, 0.985467005521059, 0.9362297207117081, 0.9242881014943123, 0.8980113789439201, 0.8984596729278564, 0.8658553957939148, 0.8836339712142944, 0.8725719451904297, 0.8637996166944504, 0.880339726805687, 0.885686069726944, 0.8944659382104874, 0.8969269096851349, 0.855885922908783, 0.8600580394268036, 0.8897462338209152, 0.9100487008690834, 0.9147621542215347, 0.919807031750679, 0.9341528192162514, 0.9439404010772705, 0.9532462432980537, 0.954306572675705]",0.3382156363129616,49.990995151996614,0.004454078674316406,0.1364829596433449,0.9091416384279728
CC-008,25,"[0.4083191156387329, 0.27066928148269653, 0.24620068073272705, 0.12200075387954712, 0.1366184949874878, 0.1649571657180786, 0.18004673719406128, 0.20886677503585815, 0.23672866821289062, 0.2613458037376404, 0.28136712312698364, 0.2967618703842163, 0.3246176838874817, 0.341919481754303, 0.3624612092971802, 0.39145421981811523, 0.43248510360717773, 0.4727969169616699, 0.5140073597431183, 0.5467044115066528, 0.5682431161403656, 0.5918904542922974, 0.6223088502883911, 0.6199478507041931, 0.8010669946670532]","[0.6985751986503601, 7.400382041931152, 9.78409481048584, 12.43127155303955, 14.881980895996094, 17.73324203491211, 19.93733787536621, 22.573076248168945, 24.822330474853516, 26.802932739257812, 28.788421630859375, 30.691692352294922, 33.37664794921875, 36.004215240478516, 38.39166259765625, 42.346092224121094, 47.82465744018555, 54.1148567199707, 62.23133087158203, 69.79380798339844, 78.1555404663086, 87.97966766357422, 101.88496398925781, 119.64685821533203, 333.66668701171875]","[0.000934600830078125, 0.011618614196777344, 0.0038766860961914062, 0.00032520294189453125, 0.005995750427246094, 0.006247520446777344, 0.004677772521972656, 0.004567146301269531, 0.004630088806152344, 0.0038976669311523438, 0.00144195556640625, 0.000148773193359375, 0.0021772384643554688, 0.003983497619628906, 0.003952980041503906, 0.004857063293457031, 0.005810737609863281, 0.005214691162109375, 0.005478858947753906, 0.0063190460205078125, 0.006198883056640625, 0.007908821105957031, 0.008278846740722656, 0.014946937561035156, 0.016495704650878906]","[0.22074910311574403, 0.02062795013382357, 0.0069174330915963145, 0.0008323318859144724, 0.0009637738238306159, 0.001729854210353654, 0.0016150467061258889, 0.0025195192403193456, 0.0032562109697299446, 0.004422600339424765, 0.0054779748689914864, 0.006944054070944117, 0.00922486378542231, 0.013128687123954874, 0.016027586999108556, 0.0236851888174614, 0.03689725396689936, 0.0636098005262663, 0.11968797677988818, 0.18274136591750745, 0.24406417877342035, 0.33329852047087083, 0.5895963992316534, 0.8262860075475496, 0.9343836736713828]","[0.7687784880399704, 0.9127894043922424, 0.8608415424823761, 0.8547927141189575, 0.8636834919452667, 0.9161519333720207, 0.9524265006184578, 0.9635372087359428, 0.9773278571665287, 0.9648873507976532, 0.975275319069624, 0.9609463103115559, 0.9715679828077555, 0.9820964150130749, 0.9788851663470268, 0.9715689234435558, 0.978189691901207, 0.9701491314917803, 0.9736362770199776, 0.9693483449518681, 0.9723927341401577, 0.9763678014278412, 0.9811285547912121, 0.9720876161009073, 0.9839001558721066]",0.3761514449119568,52.878493049144744,0.005599403381347656,0.14674749424272732,0.9461102766543626
CC-009,25,"[0.3956926465034485, 0.27821677923202515, 0.24699711799621582, 0.11752265691757202, 0.13150590658187866, 0.1571493148803711, 0.1691794991493225, 0.1984466314315796, 0.23167484998703003, 0.25042611360549927, 0.2738545536994934, 0.28875356912612915, 0.31059199571609497, 0.3311171531677246, 0.35169535875320435, 0.37856441736221313, 0.40625321865081787, 0.4452841281890869, 0.48462414741516113, 0.5200987458229065, 0.5405422151088715, 0.563096821308136, 0.5853644609451294, 0.5704123973846436, 0.7501092255115509]","[0.6872392296791077, 7.46915340423584, 9.676338195800781, 11.983981132507324, 14.26541519165039, 16.8690185546875, 18.841651916503906, 21.408571243286133, 23.953857421875, 25.665441513061523, 27.833982467651367, 29.706016540527344, 32.09943771362305, 34.76555252075195, 37.000709533691406, 40.80115509033203, 45.10670471191406, 50.81971740722656, 58.23749542236328, 65.78911590576172, 73.03731536865234, 83.02042388916016, 95.114501953125, 112.35420227050781, 311.64776611328125]","[0.0014104843139648438, 0.005726814270019531, 0.0012302398681640625, 0.009500503540039062, 0.009354591369628906, 0.010547637939453125, 0.011854171752929688, 0.014004707336425781, 0.015527725219726562, 0.0108489990234375, 0.0097503662109375, 0.007889747619628906, 0.0048465728759765625, 0.002716064453125, 0.0039520263671875, 0.008015632629394531, 0.008798599243164062, 0.0064449310302734375, 0.004975318908691406, 0.0031490325927734375, 0.0019998550415039062, 0.0036144256591796875, 0.0057697296142578125, 0.009431838989257812, 0.004073143005371094]","[0.19353587198708222, 0.027195335499563877, 0.008453827780365297, 0.000923572624602853, 0.0012313433677344499, 0.002082080644180584, 0.0019965179818305367, 0.005505551777020279, 0.011171527861036923, 0.010785056927762993, 0.016380997278812037, 0.01610734677936221, 0.01691513104351805, 0.02182481715558382, 0.022586433459649058, 0.03090819375169418, 0.040425904141261126, 0.05657430866603119, 0.09478936655783787, 0.14560714335767277, 0.20462470603752347, 0.3242566927141727, 0.5498535709989165, 0.7996476478356533, 0.8584872784717055]","[0.7629997879266739, 0.9320003986358643, 0.8572109341621399, 0.8115439116954803, 0.7746626734733582, 0.8079390376806259, 0.8152051866054535, 0.8058936297893524, 0.8046702891588211, 0.7991047203540802, 0.7889862656593323, 0.8044763803482056, 0.7798723578453064, 0.7811613976955414, 0.7864759564399719, 0.7649383693933487, 0.7492342591285706, 0.7601492404937744, 0.7689833343029022, 0.7808353155851364, 0.7941305935382843, 0.8143412619829178, 0.8188769221305847, 0.8227215707302094, 0.8589339405298233]",0.35908695697784426,49.92619058847427,0.007017326354980469,0.13847480898802295,0.8018139094114304
CC-010,25,"[0.4097200632095337, 0.2626556158065796, 0.23802196979522705, 0.11399966478347778, 0.1223178505897522, 0.1409868597984314, 0.1559441089630127, 0.18531298637390137, 0.21595394611358643, 0.23246580362319946, 0.2540355324745178, 0.2700147032737732, 0.28620225191116333, 0.2990143299102783, 0.3145764470100403, 0.33182406425476074, 0.3604937791824341, 0.4054833650588989, 0.43300867080688477, 0.4541143774986267, 0.47419869899749756, 0.5102944672107697, 0.5569701194763184, 0.5474705100059509, 0.7686418890953064]","[0.7022612690925598, 7.516904354095459, 9.813257217407227, 12.124963760375977, 14.211553573608398, 16.528099060058594, 18.73122787475586, 21.343799591064453, 23.84894561767578, 25.576200485229492, 27.84950828552246, 29.92315673828125, 32.01557540893555, 34.379310607910156, 36.327674865722656, 39.39020538330078, 43.77503967285156, 50.05381774902344, 57.250877380371094, 64.91934967041016, 71.87674713134766, 83.38182067871094, 98.07673645019531, 115.59420013427734, 341.6664123535156]","[0.0002193450927734375, 0.0034589767456054688, 0.00024127960205078125, 0.009072303771972656, 0.005519866943359375, 0.0065155029296875, 0.015256881713867188, 0.03268146514892578, 0.02967357635498047, 0.03147315979003906, 0.031205177307128906, 0.036904335021972656, 0.03435516357421875, 0.031981468200683594, 0.030139923095703125, 0.02413177490234375, 0.02051544189453125, 0.015560150146484375, 0.013081550598144531, 0.008363723754882812, 0.0043621063232421875, 0.0025177001953125, 0.004566192626953125, 0.0058460235595703125, 0.0019350051879882812]","[0.32170422760860584, 0.02976403628283486, 0.012669574829569208, 0.0014962801699759387, 0.001485688258267892, 0.002228714004542054, 0.002522837086204599, 0.007435692282986461, 0.012467029219105141, 0.011386401274384839, 0.017649245654597467, 0.01680302268238265, 0.017049178326429937, 0.02140868802170215, 0.021868143485895608, 0.027005935998944075, 0.03473914071171924, 0.05093651539295285, 0.08628869154349939, 0.1408976833650024, 0.20312423991532536, 0.3735361552211218, 0.6668765151349205, 0.8892178855413807, 0.9637341172700115]","[0.8136332929134369, 0.9210027232766151, 0.8732102513313293, 0.8707752227783203, 0.8486253619194031, 0.8007563352584839, 0.7991009056568146, 0.7676551043987274, 0.7560554444789886, 0.7511398941278458, 0.7132281363010406, 0.7188587486743927, 0.7458257079124451, 0.7315288782119751, 0.7462254166603088, 0.7414751648902893, 0.7467826902866364, 0.7868608683347702, 0.8060677349567413, 0.811476394534111, 0.8110246807336807, 0.8031722605228424, 0.8083854615688324, 0.8012462556362152, 0.8215565532445908]",0.3337488830089569,51.075105812549594,0.015983123779296875,0.1573718255712945,0.7918267795443534
