Technique,Layer,Layer_Mean,S_CC_Pearson_Layer,S_CC_Spearman_Layer
Cosine Similarity,0,0.001692167670943937,0.24750091950521938,0.2782484963696627
Cosine Similarity,1,0.001737033488224121,0.25181723021019825,0.2872906365619911
Cosine Similarity,2,0.0025934602206972943,0.25366584996494823,0.28228091140654266
Cosine Similarity,3,0.002953798278202896,0.23838147272896493,0.24763737087082355
Cosine Similarity,4,0.00348433865494306,0.22814740555855273,0.2280934509337915
Cosine Similarity,5,0.003881702411395729,0.2064395312097219,0.1999305155061471
Cosine Similarity,6,0.003957976806883029,0.19999135255993825,0.19057849983090006
Cosine Similarity,7,0.00460233517492588,0.1979469844907146,0.16528408176550902
Cosine Similarity,8,0.0048315781732166585,0.19142973607589464,0.15702667031607037
Cosine Similarity,9,0.005050243776006441,0.18324605548210768,0.15500035280296537
Cosine Similarity,10,0.00568079954552908,0.17984907386908552,0.149492955388491
Cosine Similarity,11,0.005481722404109051,0.17156097788116162,0.1406987925828434
Cosine Similarity,12,0.005253738145425402,0.15443093152738,0.13016710231751472
Cosine Similarity,13,0.005072723414112451,0.14562272069728086,0.1167675826424699
Cosine Similarity,14,0.005360131668465332,0.13440880569333916,0.1079866343335849
Cosine Similarity,15,0.005380306778322962,0.12915711744278693,0.10159889582980232
Cosine Similarity,16,0.005168076487065464,0.12289098320472885,0.09613222904978849
Cosine Similarity,17,0.0049769878223991214,0.11966489237013607,0.09249372068210097
Cosine Similarity,18,0.0045902601989822375,0.12286013533661967,0.0897302038305061
Cosine Similarity,19,0.004462348678901408,0.13323521092778465,0.09930938274373804
Cosine Similarity,20,0.004298775283788743,0.13579960511365008,0.10288230209108021
Cosine Similarity,21,0.004004012403732664,0.14808248200588517,0.11214859137432863
Cosine Similarity,22,0.0037716481283734658,0.164147013337505,0.12056889543635974
Cosine Similarity,23,0.00261134023179701,0.1656257637950155,0.1092311165827295
Cosine Similarity,24,0.007146869334732675,0.153649333122035,0.12574031965361276
Layer-wise Activation Distance,0,0.05375487997764115,0.23949129307632336,0.2782484963696627
Layer-wise Activation Distance,1,0.05594669042724734,0.24717779782341778,0.2872906365619911
Layer-wise Activation Distance,2,0.06945736157997567,0.2507255193423243,0.28228091140654266
Layer-wise Activation Distance,3,0.07472446721300553,0.23039720278239442,0.24763737087082355
Layer-wise Activation Distance,4,0.08137570033548532,0.21727056363133138,0.2280934509337915
Layer-wise Activation Distance,5,0.08606320972333274,0.1971222747813807,0.1999305155061471
Layer-wise Activation Distance,6,0.08711715120895633,0.19490615345612627,0.19057849983090006
Layer-wise Activation Distance,7,0.09395708527925553,0.1908204715935915,0.16528408176550902
Layer-wise Activation Distance,8,0.0962343868282809,0.18510825215822843,0.15702667031607037
Layer-wise Activation Distance,9,0.09824612205981854,0.17835192861266502,0.15500035280296537
